"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,162.0,162.0,162.0,152.0,175.0,206.0
mean,0.4645061876543201,0.5852623259259271,0.7947531061728383,0.31825656842105327,0.38857143771428515,0.9432645398058266
std,0.5306903096407886,0.6721989951685219,0.9868720169656507,0.531662785945451,0.4652467143906436,0.9625737328404784
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.003124960000002419,0.0625,0.0625,0.0,0.0,0.0625
25%,0.125,0.1875,0.25,0.125,0.125,0.25
50%,0.3125,0.375,0.5,0.1875,0.25,0.6875
68%,0.5,0.6874995840000246,0.8125003839999771,0.3125,0.4374994560000323,1.0
90%,0.9375,1.1812500000000004,1.8125,0.5625,0.8125,2.125
95%,1.3093742400000443,1.3687499999999986,2.2468749999999993,0.875,1.0625,2.96875
99%,3.0349999999999966,3.760624688000016,5.04249999999999,2.658750000000026,2.4375002079999875,4.828124999999989
99.7%,3.3813749999999985,4.036562113600022,6.049312499999996,4.3984999999999985,3.154500417599988,5.548124999999999
max,3.5625,4.1875,6.5625,4.625,3.9375,5.625
