"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,489.0,489.0,493.0,475.0,548.0,625.0
mean,2.191717791411043,2.5690184049079754,2.4650101419878294,1.1405640933388153,1.5145985401459854,4.3416095703125
std,1.9265928884691832,2.1946671247811116,2.199158618186899,1.2721900133167543,1.5991789550605808,3.997423067990724
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,2.0,0.75,1.25,3.5
68%,2.5,3.0,3.0,1.25,1.75,5.25
90%,4.25,5.299999999999997,5.25,2.4000000000000057,3.0,9.900000000000006
95%,5.25,7.0,6.5,3.3249999999999886,4.0,12.0
99%,10.090000000000003,10.75,9.289999999999992,6.694999999999993,7.25,16.5
99.7%,12.554000000000002,11.536000000000001,11.143,8.683499999999981,12.468000000000075,22.13400000000013
max,13.5,15.0,19.75,9.75,18.25,31.0
