"(Vol Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,147.0,148.0,148.0,138.0,161.0,188.0
mean,1.233887527391583,1.3978040594594592,1.6722972972972974,0.8419967524682992,1.078804298136649,2.4062499872340433
std,1.1620889559568799,1.206010612088472,1.4884158295857366,1.037341926956499,1.2288746504623513,1.9023242975778667
min,0.3124992000000475,0.25,0.1875,0.1875,0.3125,0.375
5%,0.375,0.375,0.45937500000000003,0.25,0.375,0.584375
25%,0.625,0.75,0.8125,0.375,0.4375,1.25
50%,0.875,1.0,1.1875,0.5,0.6875,1.875
68%,1.0800005759999658,1.1875,1.5,0.625,0.875,2.375
90%,2.325000000000003,3.4125000000000014,4.037500000000001,1.6687499999999984,2.5625,4.768750000000001
95%,4.724999999999994,4.415625,5.371875000000001,2.978125000000004,3.875,7.118750000000002
99%,5.5337499999999995,5.599375,6.51125,5.134374999999999,6.162500000000001,8.706249999999997
99.7%,5.773250000000004,5.862187499999999,8.119937499999994,5.691749999999999,7.092500000000015,10.127999999999986
max,5.9375,6.0,9.25,6.0,7.8125,11.25
