"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,161.0,162.0,162.0,152.0,174.0,205.0
mean,4.34472049689441,3.8950617283950617,5.632716049382716,2.3092105263157894,3.278735632183908,8.417073170731708
std,3.715775501512403,3.454420203198406,4.065761145870323,2.2456243033233636,4.556156555034421,9.898155463911296
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.5,0.5,0.5,0.5,0.0,0.5
25%,1.5,1.5,2.5,1.0,1.0,2.0
50%,3.5,3.0,5.0,1.5,2.5,6.0
68%,5.5,4.5,7.5,2.5,3.5,10.5
90%,8.5,8.450000000000003,10.5,4.5,6.0,18.0
95%,10.0,9.974999999999994,12.974999999999994,6.724999999999994,8.0,21.39999999999999
99%,16.10000000000001,14.889999999999986,16.5,11.480000000000018,17.550000000000153,51.56000000000019
99.7%,22.460000000000107,18.601999999999975,17.016999999999996,12.773499999999999,37.1579999999999,72.61800000000012
max,27.5,21.5,17.5,13.0,46.5,87.0
